feature,value
isBasicEconomy_num,0.0
route_avg_price_30_hist,325.13866666666667
seatsRemaining,7.0
travelDuration_mins,403.0
flight_dayofweek,3.0
totalTravelDistance,1471.0
route_avg_price_hist,348.3820644864742
dot_avg_fare,250.2465367
days_to_departure,28.0
isNonStop_num,0.0
market_share_route,0.480594444
route_std_price_hist,142.06914518368077
capacity_pressure,0.2
price_urgency,12.368138362716847
has_business_segment,0.0
elapsedDays,0.0
duration_per_mile,0.244672454617206
passengers_route,3515.108696
market_pressure,13977102.708842697
other_carriers_share,0.3282817813000001
is_multi_airline,1.0
low_fare_carrier_share,0.1762570053
route_avg_price_lag_1w,322.1079346380864
