startingAirport,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,airport_code,airport,lat,lon,dificultad,color
OAK,3810.0,529.6457007874016,491.6013078149606,123.74027653693292,218.24510295102974,26.143584538208696,0.37849915669740286,OAK,Oakland International Airport,37.7126,-122.2197,Difícil de predecir,red
SFO,4952.0,351.157897819063,344.9582283660774,87.45784220057955,126.9691869578294,29.461123068641843,0.46361135222549743,SFO,San Francisco International Airport,37.6213,-122.379,Difícil de predecir,red
DTW,4092.0,315.27200391006846,296.3577196976263,76.84862430117855,122.95532126511976,27.158048280844415,0.5220758758922746,DTW,Detroit Metropolitan Wayne County Airport,42.2162,-83.3554,Difícil de predecir,red
DEN,4032.0,287.3214434523809,292.1286186813621,76.21464825623163,107.50863715608169,37.0566141494334,0.5952332886531125,DEN,Denver International Airport,39.8561,-104.6737,Difícil de predecir,red
PHL,3160.0,310.9003670886076,305.6856782937985,74.49444327169999,119.24000623361336,30.588471997458843,0.5684913396702753,PHL,Philadelphia International Airport,39.8744,-75.2424,Difícil de predecir,red
JFK,3877.0,353.1877663141604,334.43921529804675,72.64212183114621,116.42182418373466,25.341188007764053,0.6498653654301902,JFK,John F. Kennedy International Airport,40.6413,-73.7781,Difícil de predecir,red
IAD,2836.0,337.37822637517627,310.8975769573909,70.22977940663915,107.15081174292527,21.293289484669458,0.6231348361708475,IAD,Washington Dulles International Airport,38.9531,-77.4565,Dificultad media,orange
MIA,4484.0,274.70057091882245,269.31350152735104,69.2575727823787,104.64771149595876,30.403886758072144,0.6074764452392353,MIA,Miami International Airport,25.7959,-80.287,Dificultad media,orange
LAX,6993.0,306.8251522951523,299.9948419819429,68.6216147762178,98.43965656621093,26.283055493426502,0.5197075124040424,LAX,Los Angeles International Airport,33.9416,-118.4085,Dificultad media,orange
ATL,4988.0,273.0064133921411,261.4015530714505,67.39386217346132,102.3858486712677,30.359521376052932,0.6322137374075992,ATL,Hartsfield-Jackson Atlanta International Airport,33.6407,-84.4277,Dificultad media,orange
EWR,3342.0,270.68073907839613,254.4051165114691,66.62897251523827,109.71310013688417,26.720273611705828,0.5985425040093629,EWR,Newark Liberty International Airport,40.6895,-74.1745,Dificultad media,orange
CLT,5288.0,319.5650699697428,306.85018749193404,66.46580185200656,103.380630314364,23.77701539802075,0.5363970459651978,CLT,Charlotte Douglas International Airport,35.2144,-80.9473,Fácil de predecir,green
BOS,5419.0,265.1330134711201,252.69323458898077,65.21994312563237,105.62830359795463,27.33331407480624,0.6156944398454169,BOS,Boston Logan International Airport,42.3656,-71.0096,Fácil de predecir,green
ORD,5186.0,264.05440223679136,247.14921627072107,60.80365071758218,102.73045396647198,24.698733465338666,0.6122814057897145,ORD,Chicago O'Hare International Airport,41.9742,-87.9073,Fácil de predecir,green
DFW,5252.0,272.8466869763899,258.87440960139145,60.20666632601974,92.74758316037159,26.282026333577225,0.582169937734891,DFW,Dallas/Fort Worth International Airport,32.8998,-97.0403,Fácil de predecir,green
LGA,4632.0,264.8094494818652,255.69925130073548,56.24388261892211,97.01364601143116,23.42000691863409,0.6953009162803193,LGA,LaGuardia Airport,40.7769,-73.874,Fácil de predecir,green
