startingAirport,destinationAirport,route_od,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin,lon_origin,lat_dest,lon_dest,dificultad,color
OAK,ORD,OAK_ORD,255.0,535.8885882352942,450.32622263803825,192.90591358904328,311.29279330292405,41.92410353529648,0.3039841312688082,37.7126,-122.2197,41.9742,-87.9073,Difícil de predecir,red
OAK,JFK,OAK_JFK,147.0,561.4136054421768,473.3899194224087,166.33850468923487,289.5240697808013,25.935893934291368,0.1713550765754347,37.7126,-122.2197,40.6413,-73.7781,Difícil de predecir,red
OAK,MIA,OAK_MIA,288.0,675.47625,580.8704480249809,157.73310525402718,248.2388377035269,20.665891305084724,0.11156002731836301,37.7126,-122.2197,25.7959,-80.287,Difícil de predecir,red
OAK,BOS,OAK_BOS,293.0,609.9231399317406,558.0039491503221,157.4070533788356,280.20708986394106,22.538674569886485,0.0704626627919438,37.7126,-122.2197,42.3656,-71.0096,Difícil de predecir,red
OAK,CLT,OAK_CLT,277.0,645.1688808664259,614.4234369436516,156.00232449737618,258.69971324617796,21.05947209926791,0.17792450070530985,37.7126,-122.2197,35.2144,-80.9473,Difícil de predecir,red
OAK,EWR,OAK_EWR,173.0,539.2250867052023,466.45661422020686,144.3689565263015,242.1227687003031,28.931257133263493,0.23489640913343823,37.7126,-122.2197,40.6895,-74.1745,Difícil de predecir,red
JFK,OAK,JFK_OAK,123.0,566.7617886178862,495.53283692117014,136.4455966210542,214.99394741684634,22.94773186431301,0.24705949943460015,40.6413,-73.7781,37.7126,-122.2197,Difícil de predecir,red
OAK,DEN,OAK_DEN,250.0,431.80912,406.8168785190276,130.66767214137354,257.20224284984045,40.27178447160636,0.24533022350323097,37.7126,-122.2197,39.8561,-104.6737,Difícil de predecir,red
MIA,OAK,MIA_OAK,200.0,633.8658,578.7728872554259,130.42557674659275,209.1122485833232,24.220451228388765,0.35865233790525985,25.7959,-80.287,37.7126,-122.2197,Difícil de predecir,red
PHL,OAK,PHL_OAK,265.0,597.2209056603774,594.2548723197228,127.256628444977,205.18530513549734,25.077614635808175,0.3181237035328426,39.8744,-75.2424,37.7126,-122.2197,Difícil de predecir,red
