route_market_key,isBasicEconomy_num,route_avg_price_30_hist,seatsRemaining,travelDuration_mins,flight_dayofweek,totalTravelDistance,route_avg_price_hist,dot_avg_fare,days_to_departure,isNonStop_num,market_share_route,route_std_price_hist,capacity_pressure,price_urgency,has_business_segment,elapsedDays,duration_per_mile,passengers_route,market_pressure,other_carriers_share,is_multi_airline,low_fare_carrier_share,route_avg_price_lag_1w
ATLANTA__BOSTON,0.0,302.5506666666667,7.0,315.0,3.0,947.0,309.1042963174422,254.7473106,28.0,0.0,0.7392168471,127.70127181989922,0.21951219512195122,10.496486225930441,0.0,0.0,0.3206751054852321,2570.434783,14961671.087929288,0.15887178619999998,1.0,0.1019113667,305.0875501074337
ATLANTA__CHARLOTTE,0.0,303.80016666666666,7.0,228.0,3.0,868.0,308.6858094231569,269.2683644,20.0,0.0,0.621653085,112.86736709307081,0.26120857699805067,14.70913974276667,0.0,0.0,0.3366693354683747,373.4782609,1959354.2797833583,0.006693829999999956,1.0,0.371653085,303.5965579868311
ATLANTA__CHICAGO,0.0,242.67133333333334,7.0,322.0,3.0,844.0,258.07014113408525,195.9463204,24.0,0.0,0.3479151426,119.01737629970796,0.19444444444444445,9.589629629629629,0.0,0.0,0.2632042253521127,3714.673913,12596433.223929994,0.3782297001,1.0,0.2738551573,239.80914828047636
ATLANTA__DALLAS_FORT_WORTH,0.0,257.393,7.0,141.0,3.0,725.0,271.3381193693694,204.1300086,28.0,1.0,0.3865149164,108.61504789532238,0.19444444444444445,8.771412981540196,0.0,0.0,0.19421487603305784,3151.630435,11386867.63890743,0.415657872,0.0,0.1978272116,254.20399652274705
ATLANTA__DENVER,0.0,348.071,6.0,349.0,3.0,1375.0,381.3915693069307,247.1573387,28.0,0.0,0.45845413,144.26996899078534,0.1875,12.070795643052652,0.0,0.0,0.22819767441860464,2212.065217,8129046.375757007,0.3438160287,1.0,0.1977298413,347.2628816165838
ATLANTA__DETROIT,0.0,286.67650000000003,7.0,305.0,3.0,893.5,298.49261861773977,204.7422057,23.0,0.0,0.5651605232,147.20933677707768,0.2,12.118245871126229,0.0,0.0,0.30381471389645776,1828.26087,8006119.5284798425,0.10796670629999999,1.0,0.3268727705,289.9816446433119
ATLANTA__LOS_ANGELES,0.0,422.16150000000005,7.0,459.0,3.0,2034.0,449.14649641720655,380.4446161,28.0,0.0,0.6230806219,125.80598479061284,0.1794871794871795,14.512921274965944,0.0,0.0,0.20953326713008938,3390.76087,15859989.16534127,0.2535662766,1.0,0.1233531015,418.8260140769117
ATLANTA__MIAMI,0.0,252.54533333333336,7.0,133.0,3.0,596.0,262.34530963302757,173.7180591,27.0,1.0,0.4784198258,161.39046269211738,0.2,8.942650073602842,0.0,0.0,0.21424745581146223,4429.891304,16964138.0074557,0.3557600294,0.0,0.1658201448,255.75436686212944
ATLANTA__NEW_YORK,0.0,226.047,7.0,242.0,3.0,762.0,225.3654818523154,194.0390094,28.0,0.0,0.4887382822,105.78519907470448,0.2,8.065648130054985,0.0,0.0,0.25965177895533686,8580.434783,35790219.23945267,0.4098302509000001,1.0,0.1014314669,238.13749119037428
ATLANTA__PHILADELPHIA,0.0,250.28516666666667,5.0,270.0,3.0,677.0,273.6748915356301,191.5789896,28.0,0.0,0.4132535665,149.62005885632485,0.17391304347826086,8.92717604490356,0.0,0.0,0.26905573760812446,2125.76087,7508495.847454996,0.36513780230000004,1.0,0.2216086312,250.26101224489796
ATLANTA__SAN_FRANCISCO,0.0,514.8203333333333,7.0,605.0,3.0,2393.0,560.9621040864063,401.4085105,28.0,0.0,0.6494467239,172.54368516127184,0.1956521739130435,18.090762790916184,0.0,0.0,0.23870700372979695,1748.478261,8602796.248423195,0.24157652609999997,1.0,0.10897675,524.941
ATLANTA__WASHINGTON,0.0,246.46900000000002,7.0,121.0,3.0,541.0,262.87652482269505,183.5459718,29.0,1.0,0.4666925839,139.2822679378135,0.2,8.351852270410884,0.0,0.0,0.21033210332103322,4753.152174,17122939.43411307,0.2774588945,0.0,0.2558485216,248.00010997732423
BOSTON__CHARLOTTE,0.0,214.18866666666665,7.0,279.0,3.0,730.0,213.04983677910772,205.877856,27.0,0.0,0.5958124158,101.7818065919898,0.1956521739130435,7.605689139774572,0.0,0.0,0.3583106267029973,1775.434783,7764562.71668702,0.2202155014,1.0,0.1839720828,214.17751091474375
BOSTON__CHICAGO,0.0,213.22666666666666,7.0,175.0,3.0,862.0,226.36393967422455,189.9058083,28.0,1.0,0.3715061121,106.5367713899578,0.20930232558139536,7.313112929239928,0.0,0.0,0.20278099652375434,4685.978261,17043978.71416258,0.43299853869999994,0.0,0.1954953492,216.36371804560252
BOSTON__DALLAS_FORT_WORTH,0.0,297.11800000000005,7.0,406.0,3.0,1570.0,303.36735227639656,295.9351154,27.0,0.0,0.5818865128,116.40699288140509,0.20689655172413793,10.776832154103513,0.0,0.0,0.24805738194859533,2053.478261,9038938.152020067,0.29324581829999996,1.0,0.1248676689,296.7562799829102
BOSTON__DENVER,0.0,383.9483333333334,7.0,435.0,3.0,1806.0,409.1961488420908,328.6002687,29.0,0.0,0.4124339335,136.3330562739484,0.2,12.740590046463053,0.0,0.0,0.2219147758716104,2426.73913,8689806.190535149,0.3814386814,1.0,0.2061273851,385.67484960803534
BOSTON__DETROIT,0.0,254.66,7.0,315.0,3.0,670.0,263.7296326905418,225.0975651,28.0,0.0,0.635813916,103.97271347556763,0.175,8.705988282828283,0.0,0.0,0.3979135618479881,1348.152174,6494523.152256771,0.10739337259999998,1.0,0.2567927114,254.39775167844914
BOSTON__LOS_ANGELES,0.0,469.66350000000006,7.0,509.0,3.0,2643.0,484.255475796548,422.8756695,28.0,0.0,0.3030380977,175.47032314208212,0.19444444444444445,15.541521394095374,0.0,0.0,0.18835098335854766,3803.152174,15908506.803232634,0.5529166309,1.0,0.1440452714,482.94135549064043
BOSTON__MIAMI,0.0,231.10666666666665,7.0,336.0,3.0,1289.0,239.57287047003945,188.9295439,28.0,0.0,0.3525726696,109.56020456945508,0.20454545454545456,7.91227144310419,0.0,0.0,0.2544333076329992,3903.913043,14579855.591875736,0.4643891302,1.0,0.1830382002,237.85938776541
BOSTON__NEW_YORK,0.0,164.49533333333332,7.0,86.0,3.0,185.0,183.64775700934578,161.1967721,29.0,1.0,0.3751117222,127.98205951668876,0.21875,5.765129015222982,0.0,0.0,0.44623655913978494,3161.956522,10651924.98619171,0.2909247164,0.0,0.3339635614,168.6315628312957
BOSTON__PHILADELPHIA,0.0,200.33666666666664,7.0,100.0,3.0,280.0,227.4695449620802,161.6929659,27.0,1.0,0.6493442217,135.3258045873948,0.225,7.3871153940776715,0.0,0.0,0.34519572953736655,1756.956522,8488627.439130133,0.17248205890000004,0.0,0.1781737194,217.24466938676056
BOSTON__SAN_FRANCISCO,0.0,559.927,7.0,589.0,3.0,2751.0,561.6318136214195,432.7758681,30.0,0.0,0.3202943814,216.53921613346154,0.19478319783197834,17.411191689597135,0.0,0.0,0.2026775753068055,3515.108696,13584114.920501852,0.5024274096,1.0,0.177278209,539.2347363906072
BOSTON__WASHINGTON,0.0,291.56800000000004,7.0,313.0,3.0,406.0,301.40058536585366,145.4666753,29.0,0.0,0.3109759268,156.84780593300013,0.20833333333333334,9.717337591522362,0.0,0.0,0.42045454545454547,6271.630435,21093528.616502773,0.3780481463999999,1.0,0.3109759268,291.5388096313624
CHARLOTTE__CHICAGO,0.0,262.4053333333333,7.0,331.0,3.0,921.0,251.26428970917226,223.5675284,27.0,0.0,0.5280297079,117.78807081278366,0.20454545454545456,9.68785967555416,0.0,0.0,0.3080568720379147,1522.065217,5965030.550686774,0.26522887949999996,1.0,0.2067414126,250.14209533487858
CHARLOTTE__DALLAS_FORT_WORTH,0.0,315.35816666666665,7.0,343.0,3.0,994.0,317.5356042717619,310.7969706,27.0,0.0,0.8237872589,128.42959532854087,0.1839419978517723,11.161168847958765,0.0,0.0,0.2875610949445805,1115.869565,7845036.166589495,0.15478277809999996,1.0,0.021429963,316.23959992501995
CHARLOTTE__DENVER,0.0,388.8845,7.0,378.0,3.0,1580.0,420.5608105431983,271.1937741,28.0,0.0,0.5354051517,177.38049284105116,0.20454545454545456,13.45470126335282,0.0,0.0,0.22596052527594107,1042.282609,4113246.7238938143,0.22703097299999997,1.0,0.2375638753,378.0074555014989
CHARLOTTE__DETROIT,0.0,281.638,7.0,318.5,2.0,832.0,286.7105936848279,233.4276198,22.0,0.0,0.4861227923,115.76480763381684,0.23606811145510836,12.17190261388692,0.0,0.0,0.3452958292919496,646.1956522,3059096.976471204,0.02775441540000001,1.0,0.4861227923,282.8957563993977
CHARLOTTE__LOS_ANGELES,0.0,470.2358333333333,7.0,497.0,3.0,2275.0,498.68195269183445,385.0106619,28.0,0.0,0.7785111845,187.01975605386116,0.18808962264150944,16.123539244060492,0.0,0.0,0.20615911035072712,1185.652174,7638250.347803778,0.19325265849999998,1.0,0.028236157,474.6081349071105
CHARLOTTE__MIAMI,0.0,277.0743333333333,7.0,334.0,3.0,824.0,284.3857847533632,229.4640644,27.0,0.0,0.670351362,132.41306987593612,0.20588235294117646,9.918162637468779,0.0,0.0,0.33575757575757575,1101.304348,5858354.0748016955,0.04599289379999999,1.0,0.2836557442,274.4798422847054
CHARLOTTE__NEW_YORK,0.0,224.26833333333335,7.0,234.0,3.0,548.0,239.3185549264674,206.6485771,26.0,0.0,0.6429314565,91.58732228243923,0.22580645161290322,8.545357781744283,0.0,0.0,0.2932191300261149,3552.173913,17358389.054671507,0.2545593636,1.0,0.1025091799,229.09267397448454
CHARLOTTE__PHILADELPHIA,0.0,278.038,7.0,326.0,3.0,895.0,285.2526990079915,218.6075209,27.0,0.0,0.7172207695,130.15746535506878,0.1891891891891892,9.8595884690208,0.0,0.0,0.3620146904512067,872.9347826,5124114.301533271,0.013696924399999977,1.0,0.2690823061,277.4881995578369
CHARLOTTE__SAN_FRANCISCO,0.0,592.5686666666667,7.0,622.0,3.0,2557.0,620.1252335958005,432.8710813,29.0,0.0,0.7140115163,220.9859023061565,0.1891891891891892,19.357508149494976,0.0,0.0,0.22817601135557133,679.5652174,3767017.1631291234,0.18554062699999996,1.0,0.1004478567,565.9829064683084
CHARLOTTE__WASHINGTON,0.0,221.88850000000002,7.0,112.0,3.0,327.0,223.98979325425353,172.4900498,27.5,1.0,0.7508173419,104.61453522618567,0.19399641577060933,7.642649594523957,0.0,0.0,0.2945256116880831,1529.347826,9103757.764232218,0.10881307739999996,0.0,0.1403695807,215.0951465201465
CHICAGO__DALLAS_FORT_WORTH,0.0,279.34633333333335,7.0,318.0,3.0,1122.0,302.67689310167077,210.6382177,28.0,0.0,0.3681434059,130.34321190724393,0.17307692307692307,9.75864237225113,0.0,0.0,0.2693020941069184,4244.565217,14457149.58410514,0.26371318820000006,1.0,0.3681434059,287.15968314743316
CHICAGO__DENVER,0.0,323.1255,7.0,266.0,3.0,1034.0,356.3447695063047,211.6326152,28.0,0.0,0.4118746329,158.14810244532214,0.225,11.28614787175263,0.0,0.0,0.20218265364732912,4071.521739,14623725.702864774,0.2030006941,1.0,0.385124673,329.23493502529215
CHICAGO__DETROIT,0.0,220.32733333333334,7.0,88.0,3.0,240.0,230.4018116301274,194.963646,29.0,1.0,0.5668782323,116.43231380730077,0.20930232558139536,7.6555355665839535,0.0,0.0,0.35684647302904565,924.7826087,4021877.3636960047,0.3159379407,0.0,0.117183827,222.99717068645637
CHICAGO__LOS_ANGELES,0.0,362.90066666666667,7.0,420.0,3.0,1810.0,408.98305959805964,290.2448793,29.0,0.0,0.3572198363,170.79283936009185,0.18421052631578946,12.42942489544425,0.0,0.0,0.20901194353963085,6757.5,26875317.158582043,0.4996059129,1.0,0.1431742508,372.3616031885096
CHICAGO__MIAMI,0.0,251.03745238095237,7.0,396.5,3.0,1517.0,260.92510218684254,198.2328522,28.0,0.0,0.2997015991,131.27285617290926,0.1891891891891892,8.71932979049955,0.0,0.0,0.24747231584015406,4261.847826,15320388.204439295,0.46071055119999993,1.0,0.2395878497,255.75702842039223
CHICAGO__NEW_YORK,0.0,231.806,7.0,247.0,3.0,720.0,244.93949213734055,187.8161357,29.0,0.0,0.3864492632,122.82147102809088,0.21875,9.538210886711571,0.0,0.0,0.2514792899408284,10386.08696,36378427.14490212,0.22710147359999994,1.0,0.3864492632,283.4023232529524
CHICAGO__PHILADELPHIA,0.0,259.48699999999997,7.0,247.0,3.0,674.0,279.4752700729927,193.9097668,27.0,0.0,0.4445347594,134.92365269616167,0.2,9.3217074727079,0.0,0.0,0.2831230283911672,2540.76087,9235808.27894213,0.3539679144,1.0,0.2014973262,260.5640193431178
CHICAGO__SAN_FRANCISCO,0.0,456.10916666666674,7.0,500.0,3.0,2084.0,495.8282958516844,337.0191808,28.0,0.0,0.5435302062,189.805786078065,0.19230769230769232,15.7897055319974,0.0,0.0,0.22452156633253173,4185.0,16802388.751779757,0.25892161449999995,1.0,0.1975481793,467.1979572271849
CHICAGO__WASHINGTON,0.0,317.53433333333334,6.0,328.0,3.0,919.0,327.2246869070209,184.7237826,29.0,0.0,0.3700634581,147.70324265279578,0.1875,10.306076721763086,0.0,0.0,0.3651804670912951,4984.456522,17018327.50864943,0.2598730838,1.0,0.3700634581,314.52344204348407
