route_market_key,origin_market,dest_market,N_train,precio_medio_train,aeropuertos_origen,aeropuertos_destino
NEW_YORK__SAN_FRANCISCO,SAN_FRANCISCO,NEW_YORK,16471,538.9727946087062,"EWR, JFK, LGA, OAK, SFO","EWR, JFK, LGA, OAK, SFO"
LOS_ANGELES__NEW_YORK,NEW_YORK,LOS_ANGELES,16357,435.05416946872896,"EWR, JFK, LAX, LGA","EWR, JFK, LAX, LGA"
CHICAGO__NEW_YORK,CHICAGO,NEW_YORK,12520,282.6871285942492,"EWR, JFK, LGA, ORD","EWR, JFK, LGA, ORD"
CHARLOTTE__NEW_YORK,CHARLOTTE,NEW_YORK,10008,228.5370673461231,"CLT, EWR, JFK, LGA","CLT, EWR, JFK, LGA"
DALLAS_FORT_WORTH__NEW_YORK,NEW_YORK,DALLAS_FORT_WORTH,9687,283.67411169608755,"DFW, EWR, JFK, LGA","DFW, EWR, JFK, LGA"
DENVER__NEW_YORK,NEW_YORK,DENVER,9421,406.50360683579237,"DEN, EWR, JFK, LGA","DEN, EWR, JFK, LGA"
ATLANTA__NEW_YORK,ATLANTA,NEW_YORK,9127,234.61934041853843,"ATL, EWR, JFK, LGA","ATL, EWR, JFK, LGA"
BOSTON__NEW_YORK,BOSTON,NEW_YORK,8633,167.76948106104481,"BOS, EWR, JFK, LGA","BOS, EWR, JFK, LGA"
MIAMI__NEW_YORK,MIAMI,NEW_YORK,8077,227.8400792373406,"EWR, JFK, LGA, MIA","EWR, JFK, LGA, MIA"
NEW_YORK__WASHINGTON,WASHINGTON,NEW_YORK,7909,374.64276773296245,"EWR, IAD, JFK, LGA","EWR, IAD, JFK, LGA"
DETROIT__NEW_YORK,NEW_YORK,DETROIT,7440,265.65563978494623,"DTW, EWR, JFK, LGA","DTW, EWR, JFK, LGA"
BOSTON__SAN_FRANCISCO,SAN_FRANCISCO,BOSTON,6576,537.0627737226278,"BOS, OAK, SFO","BOS, OAK, SFO"
ATLANTA__SAN_FRANCISCO,ATLANTA,SAN_FRANCISCO,6004,517.8845602931378,"ATL, OAK, SFO","ATL, OAK, SFO"
ATLANTA__LOS_ANGELES,ATLANTA,LOS_ANGELES,5920,414.72216385135135,"ATL, LAX","ATL, LAX"
BOSTON__LOS_ANGELES,LOS_ANGELES,BOSTON,5908,451.3616266079892,"BOS, LAX","BOS, LAX"
DALLAS_FORT_WORTH__SAN_FRANCISCO,SAN_FRANCISCO,DALLAS_FORT_WORTH,5688,407.6499033052039,"DFW, OAK, SFO","DFW, OAK, SFO"
DETROIT__SAN_FRANCISCO,SAN_FRANCISCO,DETROIT,5400,560.9731370370371,"DTW, OAK, SFO","DTW, OAK, SFO"
CHARLOTTE__SAN_FRANCISCO,CHARLOTTE,SAN_FRANCISCO,5239,578.7641496468791,"CLT, OAK, SFO","CLT, OAK, SFO"
DALLAS_FORT_WORTH__LOS_ANGELES,LOS_ANGELES,DALLAS_FORT_WORTH,5217,287.3530228100441,"DFW, LAX","DFW, LAX"
CHICAGO__LOS_ANGELES,CHICAGO,LOS_ANGELES,5209,361.9554271453254,"LAX, ORD","LAX, ORD"
LOS_ANGELES__SAN_FRANCISCO,SAN_FRANCISCO,LOS_ANGELES,5187,257.5218584923848,"LAX, OAK, SFO","LAX, OAK, SFO"
CHICAGO__SAN_FRANCISCO,SAN_FRANCISCO,CHICAGO,5164,451.90733152594885,"OAK, ORD, SFO","OAK, ORD, SFO"
DETROIT__LOS_ANGELES,LOS_ANGELES,DETROIT,5104,447.54194553291535,"DTW, LAX","DTW, LAX"
DENVER__SAN_FRANCISCO,SAN_FRANCISCO,DENVER,4971,353.0302957151479,"DEN, OAK, SFO","DEN, OAK, SFO"
CHARLOTTE__LOS_ANGELES,CHARLOTTE,LOS_ANGELES,4810,462.91445322245323,"CLT, LAX","CLT, LAX"
PHILADELPHIA__SAN_FRANCISCO,PHILADELPHIA,SAN_FRANCISCO,4775,584.8741445026178,"OAK, PHL, SFO","OAK, PHL, SFO"
LOS_ANGELES__PHILADELPHIA,PHILADELPHIA,LOS_ANGELES,4564,453.1035911481157,"LAX, PHL","LAX, PHL"
MIAMI__SAN_FRANCISCO,SAN_FRANCISCO,MIAMI,4421,545.2989549875595,"MIA, OAK, SFO","MIA, OAK, SFO"
ATLANTA__BOSTON,ATLANTA,BOSTON,4419,300.41313419325644,"ATL, BOS","ATL, BOS"
LOS_ANGELES__MIAMI,LOS_ANGELES,MIAMI,4259,391.2311669405964,"LAX, MIA","LAX, MIA"
CHARLOTTE__DALLAS_FORT_WORTH,DALLAS_FORT_WORTH,CHARLOTTE,4208,316.7149928707224,"CLT, DFW","CLT, DFW"
SAN_FRANCISCO__WASHINGTON,SAN_FRANCISCO,WASHINGTON,4205,571.9091153388823,"IAD, OAK, SFO","IAD, OAK, SFO"
DALLAS_FORT_WORTH__MIAMI,MIAMI,DALLAS_FORT_WORTH,4179,276.260909308447,"DFW, MIA","DFW, MIA"
