route_key,startingAirport,destinationAirport,origin_market,dest_market,route_market_key,N_train,precio_medio_train
LAX_LGA,LGA,LAX,NEW_YORK,LOS_ANGELES,LOS_ANGELES__NEW_YORK,5983,428.6499097442755
ATL_LAX,ATL,LAX,ATLANTA,LOS_ANGELES,ATLANTA__LOS_ANGELES,5920,414.72216385135135
BOS_LAX,LAX,BOS,LOS_ANGELES,BOSTON,BOSTON__LOS_ANGELES,5908,451.3616266079892
JFK_LAX,JFK,LAX,NEW_YORK,LOS_ANGELES,LOS_ANGELES__NEW_YORK,5421,466.71145176166766
DFW_LAX,LAX,DFW,LOS_ANGELES,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__LOS_ANGELES,5217,287.3530228100441
LAX_ORD,ORD,LAX,CHICAGO,LOS_ANGELES,CHICAGO__LOS_ANGELES,5209,361.9554271453254
DTW_LAX,LAX,DTW,LOS_ANGELES,DETROIT,DETROIT__LOS_ANGELES,5104,447.54194553291535
EWR_LAX,LAX,EWR,LOS_ANGELES,NEW_YORK,LOS_ANGELES__NEW_YORK,4953,408.14170401776704
CLT_LAX,CLT,LAX,CHARLOTTE,LOS_ANGELES,CHARLOTTE__LOS_ANGELES,4810,462.91445322245323
LGA_ORD,ORD,LGA,CHICAGO,NEW_YORK,CHICAGO__NEW_YORK,4682,174.99993592481843
LAX_PHL,PHL,LAX,PHILADELPHIA,LOS_ANGELES,LOS_ANGELES__PHILADELPHIA,4564,453.1035911481157
JFK_ORD,ORD,JFK,CHICAGO,NEW_YORK,CHICAGO__NEW_YORK,4553,432.11965956512194
BOS_SFO,SFO,BOS,SAN_FRANCISCO,BOSTON,BOSTON__SAN_FRANCISCO,4517,487.07311047155196
LGA_SFO,SFO,LGA,SAN_FRANCISCO,NEW_YORK,NEW_YORK__SAN_FRANCISCO,4450,518.9049685393259
ATL_BOS,ATL,BOS,ATLANTA,BOSTON,ATLANTA__BOSTON,4419,300.41313419325644
CLT_LGA,LGA,CLT,NEW_YORK,CHARLOTTE,CHARLOTTE__NEW_YORK,4334,197.6419958467928
DFW_LGA,LGA,DFW,NEW_YORK,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__NEW_YORK,4310,226.86801856148492
IAD_LGA,IAD,LGA,WASHINGTON,NEW_YORK,NEW_YORK__WASHINGTON,4286,391.3086070928605
LAX_MIA,LAX,MIA,LOS_ANGELES,MIAMI,LOS_ANGELES__MIAMI,4259,391.2311669405964
CLT_DFW,DFW,CLT,DALLAS_FORT_WORTH,CHARLOTTE,CHARLOTTE__DALLAS_FORT_WORTH,4208,316.7149928707224
DFW_MIA,MIA,DFW,MIAMI,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__MIAMI,4179,276.260909308447
ATL_LGA,ATL,LGA,ATLANTA,NEW_YORK,ATLANTA__NEW_YORK,3995,206.79668335419274
BOS_ORD,BOS,ORD,BOSTON,CHICAGO,BOSTON__CHICAGO,3922,213.4057598164202
BOS_LGA,BOS,LGA,BOSTON,NEW_YORK,BOSTON__NEW_YORK,3888,139.46720679012347
DEN_JFK,JFK,DEN,NEW_YORK,DENVER,DENVER__NEW_YORK,3877,510.60798039721436
DEN_LAX,LAX,DEN,LOS_ANGELES,DENVER,DENVER__LOS_ANGELES,3822,254.86473835688122
BOS_DFW,BOS,DFW,BOSTON,DALLAS_FORT_WORTH,BOSTON__DALLAS_FORT_WORTH,3781,300.73565987833905
CLT_SFO,SFO,CLT,SAN_FRANCISCO,CHARLOTTE,CHARLOTTE__SAN_FRANCISCO,3731,546.1791986062718
BOS_MIA,BOS,MIA,BOSTON,MIAMI,BOSTON__MIAMI,3727,228.52433592701908
DFW_PHL,PHL,DFW,PHILADELPHIA,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__PHILADELPHIA,3581,330.9158112259146
ATL_SFO,ATL,SFO,ATLANTA,SAN_FRANCISCO,ATLANTA__SAN_FRANCISCO,3544,496.0766506772009
IAD_LAX,IAD,LAX,WASHINGTON,LOS_ANGELES,LOS_ANGELES__WASHINGTON,3521,472.0830389094008
CLT_ORD,CLT,ORD,CHARLOTTE,CHICAGO,CHARLOTTE__CHICAGO,3449,268.69663670629166
DFW_ORD,DFW,ORD,DALLAS_FORT_WORTH,CHICAGO,CHICAGO__DALLAS_FORT_WORTH,3428,282.75953617269545
BOS_DEN,DEN,BOS,DENVER,BOSTON,BOSTON__DENVER,3422,381.30412624196373
MIA_ORD,MIA,ORD,MIAMI,CHICAGO,CHICAGO__MIAMI,3388,251.28044273907912
DTW_SFO,DTW,SFO,DETROIT,SAN_FRANCISCO,DETROIT__SAN_FRANCISCO,3364,550.8226248513674
CLT_MIA,CLT,MIA,CHARLOTTE,MIAMI,CHARLOTTE__MIAMI,3327,278.42219416892095
DFW_OAK,OAK,DFW,SAN_FRANCISCO,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__SAN_FRANCISCO,3315,446.5702684766214
EWR_ORD,ORD,EWR,CHICAGO,NEW_YORK,CHICAGO__NEW_YORK,3285,229.0570289193303
EWR_SFO,SFO,EWR,SAN_FRANCISCO,NEW_YORK,NEW_YORK__SAN_FRANCISCO,3266,461.7812553582364
MIA_SFO,SFO,MIA,SAN_FRANCISCO,MIAMI,MIAMI__SAN_FRANCISCO,3248,500.92882697044337
LGA_OAK,OAK,LGA,SAN_FRANCISCO,NEW_YORK,NEW_YORK__SAN_FRANCISCO,3174,703.7686231884057
LGA_MIA,LGA,MIA,NEW_YORK,MIAMI,MIAMI__NEW_YORK,3123,211.83272494396414
LAX_SFO,SFO,LAX,SAN_FRANCISCO,LOS_ANGELES,LOS_ANGELES__SAN_FRANCISCO,3120,199.35810256410258
BOS_CLT,BOS,CLT,BOSTON,CHARLOTTE,BOSTON__CHARLOTTE,3111,216.02893603342977
ORD_SFO,ORD,SFO,CHICAGO,SAN_FRANCISCO,CHICAGO__SAN_FRANCISCO,3105,437.2181417069243
