startingAirport,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,airport_code,airport,lat,lon,dificultad,color
OAK,3810.0,529.6457007874016,491.6013078149606,123.74027653693292,218.24510295102974,26.143584538208696,0.37849915669740286,OAK,Oakland International Airport,37.7126,-122.2197,Difícil de predecir,red
SFO,4952.0,351.157897819063,344.9582283660774,87.45784220057955,126.9691869578294,29.461123068641843,0.46361135222549743,SFO,San Francisco International Airport,37.6213,-122.379,Difícil de predecir,red
DTW,4092.0,315.27200391006846,296.3577196976263,76.84862430117855,122.95532126511976,27.158048280844415,0.5220758758922746,DTW,Detroit Metropolitan Wayne County Airport,42.2162,-83.3554,Difícil de predecir,red
DEN,4032.0,287.3214434523809,292.1286186813621,76.21464825623163,107.50863715608169,37.0566141494334,0.5952332886531125,DEN,Denver International Airport,39.8561,-104.6737,Difícil de predecir,red
PHL,3160.0,310.9003670886076,305.6856782937985,74.49444327169999,119.24000623361336,30.588471997458843,0.5684913396702753,PHL,Philadelphia International Airport,39.8744,-75.2424,Difícil de predecir,red
JFK,3877.0,353.1877663141604,334.43921529804675,72.64212183114621,116.42182418373466,25.341188007764053,0.6498653654301902,JFK,John F. Kennedy International Airport,40.6413,-73.7781,Difícil de predecir,red
IAD,2836.0,337.37822637517627,310.8975769573909,70.22977940663915,107.15081174292527,21.293289484669458,0.6231348361708475,IAD,Washington Dulles International Airport,38.9531,-77.4565,Dificultad media,orange
MIA,4484.0,274.70057091882245,269.31350152735104,69.2575727823787,104.64771149595876,30.403886758072144,0.6074764452392353,MIA,Miami International Airport,25.7959,-80.287,Dificultad media,orange
LAX,6993.0,306.8251522951523,299.9948419819429,68.6216147762178,98.43965656621093,26.283055493426502,0.5197075124040424,LAX,Los Angeles International Airport,33.9416,-118.4085,Dificultad media,orange
ATL,4988.0,273.0064133921411,261.4015530714505,67.39386217346132,102.3858486712677,30.359521376052932,0.6322137374075992,ATL,Hartsfield-Jackson Atlanta International Airport,33.6407,-84.4277,Dificultad media,orange
