origin_market,N,n_aeropuertos_salida,aeropuertos_salida,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_market,lon_market,dificultad,color
DALLAS_FORT_WORTH,5252,1,DFW,272.8466869763899,258.87440960139145,60.20666632601974,92.74758316037159,26.282026333577225,0.582169937734891,32.8998,-97.0403,Fácil de predecir,green
CHICAGO,5186,1,ORD,264.05440223679136,247.14921627072107,60.80365071758218,102.73045396647198,24.698733465338666,0.6122814057897145,41.9742,-87.9073,Fácil de predecir,green
NEW_YORK,11851,3,"EWR, JFK, LGA",295.3777208674373,281.09371944282026,64.5371020821979,107.2714119452513,24.97919267264663,0.6695506212335262,40.70256666666666,-73.9422,Fácil de predecir,green
BOSTON,5419,1,BOS,265.1330134711201,252.69323458898077,65.21994312563237,105.62830359795463,27.33331407480624,0.6156944398454169,42.3656,-71.0096,Fácil de predecir,green
CHARLOTTE,5288,1,CLT,319.5650699697428,306.85018749193404,66.46580185200656,103.380630314364,23.77701539802075,0.5363970459651978,35.2144,-80.9473,Dificultad media,orange
ATLANTA,4988,1,ATL,273.0064133921411,261.4015530714505,67.39386217346132,102.3858486712677,30.359521376052932,0.6322137374075992,33.6407,-84.4277,Dificultad media,orange
LOS_ANGELES,6993,1,LAX,306.8251522951523,299.9948419819429,68.6216147762178,98.43965656621093,26.283055493426502,0.5197075124040424,33.9416,-118.4085,Dificultad media,orange
MIAMI,4484,1,MIA,274.70057091882245,269.31350152735104,69.2575727823787,104.64771149595876,30.403886758072144,0.6074764452392353,25.7959,-80.287,Dificultad media,orange
WASHINGTON,2836,1,IAD,337.37822637517627,310.8975769573909,70.22977940663915,107.15081174292527,21.293289484669458,0.6231348361708475,38.9531,-77.4565,Difícil de predecir,red
PHILADELPHIA,3160,1,PHL,310.9003670886076,305.6856782937985,74.49444327169999,119.24000623361336,30.588471997458843,0.5684913396702753,39.8744,-75.2424,Difícil de predecir,red
