startingAirport,destinationAirport,route_od,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin,lon_origin,lat_dest,lon_dest,dificultad,color
OAK,ORD,OAK_ORD,255.0,535.8885882352942,450.32622263803825,192.90591358904328,311.29279330292405,41.92410353529648,0.3039841312688082,37.7126,-122.2197,41.9742,-87.9073,Difícil de predecir,red
OAK,JFK,OAK_JFK,147.0,561.4136054421768,473.3899194224087,166.33850468923487,289.5240697808013,25.935893934291368,0.1713550765754347,37.7126,-122.2197,40.6413,-73.7781,Difícil de predecir,red
OAK,MIA,OAK_MIA,288.0,675.47625,580.8704480249809,157.73310525402718,248.2388377035269,20.665891305084724,0.11156002731836301,37.7126,-122.2197,25.7959,-80.287,Difícil de predecir,red
OAK,BOS,OAK_BOS,293.0,609.9231399317406,558.0039491503221,157.4070533788356,280.20708986394106,22.538674569886485,0.0704626627919438,37.7126,-122.2197,42.3656,-71.0096,Difícil de predecir,red
OAK,CLT,OAK_CLT,277.0,645.1688808664259,614.4234369436516,156.00232449737618,258.69971324617796,21.05947209926791,0.17792450070530985,37.7126,-122.2197,35.2144,-80.9473,Difícil de predecir,red
OAK,EWR,OAK_EWR,173.0,539.2250867052023,466.45661422020686,144.3689565263015,242.1227687003031,28.931257133263493,0.23489640913343823,37.7126,-122.2197,40.6895,-74.1745,Difícil de predecir,red
JFK,OAK,JFK_OAK,123.0,566.7617886178862,495.53283692117014,136.4455966210542,214.99394741684634,22.94773186431301,0.24705949943460015,40.6413,-73.7781,37.7126,-122.2197,Difícil de predecir,red
OAK,DEN,OAK_DEN,250.0,431.80912,406.8168785190276,130.66767214137354,257.20224284984045,40.27178447160636,0.24533022350323097,37.7126,-122.2197,39.8561,-104.6737,Difícil de predecir,red
MIA,OAK,MIA_OAK,200.0,633.8658,578.7728872554259,130.42557674659275,209.1122485833232,24.220451228388765,0.35865233790525985,25.7959,-80.287,37.7126,-122.2197,Difícil de predecir,red
PHL,OAK,PHL_OAK,265.0,597.2209056603774,594.2548723197228,127.256628444977,205.18530513549734,25.077614635808175,0.3181237035328426,39.8744,-75.2424,37.7126,-122.2197,Difícil de predecir,red
OAK,ATL,OAK_ATL,363.0,533.4197245179064,477.4432831295915,127.06324090443412,222.50096487350234,23.558974160461972,0.31105286523221454,37.7126,-122.2197,33.6407,-84.4277,Difícil de predecir,red
OAK,DTW,OAK_DTW,276.0,551.8880434782608,476.7276684396791,125.82498855814111,215.71980863860702,20.247863587662067,0.2899310870170738,37.7126,-122.2197,42.2162,-83.3554,Difícil de predecir,red
ORD,OAK,ORD_OAK,204.0,465.7419607843137,448.8568904615494,125.1773542470567,216.83628403778533,32.55817960407532,0.469683957344318,41.9742,-87.9073,37.7126,-122.2197,Difícil de predecir,red
CLT,OAK,CLT_OAK,206.0,589.7318446601942,607.7816586364515,119.52254326469591,195.52212527308146,22.150321765039838,0.19223992672220136,35.2144,-80.9473,37.7126,-122.2197,Difícil de predecir,red
EWR,OAK,EWR_OAK,178.0,527.5829775280899,478.0008477436266,114.15241400709336,206.21187431839184,26.381940619710733,0.3260934350536553,40.6895,-74.1745,37.7126,-122.2197,Difícil de predecir,red
OAK,PHL,OAK_PHL,283.0,622.1155477031803,603.9253505049584,113.10660724575749,191.9535893306563,21.639455218906942,0.17292427231656493,37.7126,-122.2197,39.8744,-75.2424,Difícil de predecir,red
BOS,OAK,BOS_OAK,315.0,595.9938095238094,573.9872165786256,112.81634012158874,211.90471916340974,17.358343532472883,0.14802431562908025,42.3656,-71.0096,37.7126,-122.2197,Difícil de predecir,red
PHL,SFO,PHL_SFO,317.0,379.2139116719243,404.6665056696453,112.57508824349243,159.60321039689174,40.730957062170255,0.19926658987869705,39.8744,-75.2424,37.6213,-122.379,Difícil de predecir,red
IAD,OAK,IAD_OAK,113.0,554.8528318584071,556.3138980566705,111.77816297264516,177.15140540615658,19.608224477727962,0.2832551122669198,38.9531,-77.4565,37.7126,-122.2197,Difícil de predecir,red
SFO,PHL,SFO_PHL,315.0,393.62990476190475,406.8986177118827,110.56072845991187,152.55384052123082,36.8668795111396,0.19301419592293312,37.6213,-122.379,39.8744,-75.2424,Difícil de predecir,red
