route_market_key,N,origin_market,dest_market,n_aeropuertos_origen,n_aeropuertos_destino,aeropuertos_origen,aeropuertos_destino,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin_market,lon_origin_market,lat_dest_market,lon_dest_market,dificultad,color
ATLANTA__CHARLOTTE,387,CHARLOTTE,ATLANTA,2,2,"ATL, CLT","ATL, CLT",295.71806201550385,277.92521249863336,43.98955496587412,63.83482864355248,15.380465588970502,0.6902196489277082,35.2144,-80.9473,33.6407,-84.4277,Fácil de predecir,green
BOSTON__NEW_YORK,1843,BOSTON,NEW_YORK,4,4,"BOS, EWR, JFK, LGA","BOS, EWR, JFK, LGA",175.9501519262072,151.86194445422532,44.11988130396497,75.44082913295125,23.530977086461778,0.6177699992845007,42.3656,-71.0096,40.70256666666666,-73.9422,Fácil de predecir,green
CHICAGO__NEW_YORK,2626,NEW_YORK,CHICAGO,4,4,"EWR, JFK, LGA, ORD","EWR, JFK, LGA, ORD",261.89173648134044,237.6851961152407,47.07751910280495,74.26743281798854,19.741289577372395,0.792090352364503,40.70256666666666,-73.9422,41.9742,-87.9073,Fácil de predecir,green
ATLANTA__BOSTON,793,BOSTON,ATLANTA,2,2,"ATL, BOS","ATL, BOS",219.34307692307692,213.85578901402667,48.15031009117708,66.18303950728587,24.431672492464372,0.6372063820944927,42.3656,-71.0096,33.6407,-84.4277,Fácil de predecir,green
ATLANTA__WASHINGTON,245,ATLANTA,WASHINGTON,2,2,"ATL, IAD","ATL, IAD",203.40416326530607,175.91059750590583,48.159392138319625,81.16073288008413,20.648340519339598,0.558217873617134,33.6407,-84.4277,38.9531,-77.4565,Fácil de predecir,green
DALLAS_FORT_WORTH__LOS_ANGELES,1104,DALLAS_FORT_WORTH,LOS_ANGELES,2,2,"DFW, LAX","DFW, LAX",243.73317934782608,224.68746378643002,49.40623524277667,71.8029097804957,23.17945259650751,0.5753419363899994,32.8998,-97.0403,33.9416,-118.4085,Fácil de predecir,green
ATLANTA__CHICAGO,710,ATLANTA,CHICAGO,2,2,"ATL, ORD","ATL, ORD",197.45436619718308,179.20315214019826,50.599152235593564,93.69286828410992,25.058783640429322,0.37848994735863706,33.6407,-84.4277,41.9742,-87.9073,Fácil de predecir,green
BOSTON__PHILADELPHIA,316,PHILADELPHIA,BOSTON,2,2,"BOS, PHL","BOS, PHL",175.4170253164557,155.5946412212768,51.27159624249226,69.88226596018976,33.169689152612996,0.5515440913550267,39.8744,-75.2424,42.3656,-71.0096,Fácil de predecir,green
CHICAGO__MIAMI,812,MIAMI,CHICAGO,2,2,"MIA, ORD","MIA, ORD",240.29915024630537,218.46615440046324,51.64268755554292,80.18102235390103,21.284278730760217,0.45350872244225404,25.7959,-80.287,41.9742,-87.9073,Fácil de predecir,green
CHICAGO__PHILADELPHIA,533,PHILADELPHIA,CHICAGO,2,2,"ORD, PHL","ORD, PHL",222.8422889305816,202.82519955175056,51.97792511541432,83.81849068661604,22.82705625982417,0.4365860413314381,39.8744,-75.2424,41.9742,-87.9073,Fácil de predecir,green
DETROIT__WASHINGTON,197,WASHINGTON,DETROIT,2,2,"DTW, IAD","DTW, IAD",204.13659898477152,189.31215409721656,53.11841757206135,88.0237632398729,24.875941106379667,0.5094443618273361,38.9531,-77.4565,42.2162,-83.3554,Fácil de predecir,green
ATLANTA__NEW_YORK,1834,ATLANTA,NEW_YORK,4,4,"ATL, EWR, JFK, LGA","ATL, EWR, JFK, LGA",208.69769356597598,199.03555081483137,54.73588644553624,79.82818628582568,31.81888953505199,0.6568759437126057,33.6407,-84.4277,40.70256666666666,-73.9422,Fácil de predecir,green
ATLANTA__DALLAS_FORT_WORTH,595,DALLAS_FORT_WORTH,ATLANTA,2,2,"ATL, DFW","ATL, DFW",201.81710924369744,179.04789611837643,54.9932179547597,82.54111795108369,31.134818742566026,0.3737081885930318,32.8998,-97.0403,33.6407,-84.4277,Fácil de predecir,green
CHARLOTTE__NEW_YORK,2198,NEW_YORK,CHARLOTTE,4,4,"CLT, EWR, JFK, LGA","CLT, EWR, JFK, LGA",248.61141037306638,224.70080773345163,55.22808049183275,110.00616395148714,20.98648771372667,0.42164475196792617,40.70256666666666,-73.9422,35.2144,-80.9473,Fácil de predecir,green
DALLAS_FORT_WORTH__WASHINGTON,364,WASHINGTON,DALLAS_FORT_WORTH,2,2,"DFW, IAD","DFW, IAD",286.56681318681314,250.32819853215452,57.00864058277104,95.98394258775747,17.727631611838515,0.4976548485801634,38.9531,-77.4565,32.8998,-97.0403,Fácil de predecir,green
MIAMI__WASHINGTON,255,MIAMI,WASHINGTON,2,2,"IAD, MIA","IAD, MIA",250.2746666666666,238.57867541325993,58.3336737727135,83.18805781544849,22.776558390703645,0.5563464193931861,25.7959,-80.287,38.9531,-77.4565,Fácil de predecir,green
LOS_ANGELES__WASHINGTON,657,LOS_ANGELES,WASHINGTON,2,2,"IAD, LAX","IAD, LAX",329.8023439878234,319.6531214654061,58.66427158329264,82.17140659266788,18.160002349935144,0.5932665848197641,33.9416,-118.4085,38.9531,-77.4565,Fácil de predecir,green
